turn1,turn2,turn3,label
hmm,what does your bio mean ,i doing ’ t have any bio,0
what you like,very little things,ok,0
yes,how so ,i want to fuck babu,0
what did you guess,what what,fuck,0
we ,of course we will ,what gender movies you like ? ,0
where are you now ,at home just about to have breakfast . ,what are you eating ,0
that was a joke by the way . ,it was,yes beaming face with smiling eyes,1
who d hell s he,johnny depp .  duh ,who she,0
"yes , good advice",best advice . ,i great thx,0
nice to meet u,"hi , nice to meet you too ! grinning cat face with smiling eyes face with tears of joy",beaming face with smiling eyes,1
yupp,why ,do not know i am tired,0
software,software what ? i plan on going for development next year,i am into android development stuff,0
very nice,thanks !  <happy>,r you know tamil,0
first you hurt me,okay,so i talked rude,3
love you 🙊,you do not recognize me ? smirking face,i love you 🙊,0
in india fogg is going on,mumbaiindians getting routed ! ,ohh really,0
is my grammar perfect or should i need to learn more,"yes , it is possible ",thank you,1
by,in suits ,have good day,0
i doing ’ t know what to write,what are you writing about ,for my profile picture i mean,0
so you make jokes . i already got that ,that was a good joke i laughed thumbs up,do you read newspapers,0
yeah me too,me too ! all my friends are also excited,of  so funny,1
thanks,you are welcome ! beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes beaming face with smiling eyes,can you help me,0
offer ,"you have already enrolled in the offer . if this is an error , please contact",when it start again ,0
uh  whyy ? ,not you . ,no i am really a bad bitch,2
sure will you cal me ni8,ok,then,0
about what i just told, i should ,you drunk ? face with tears of joy,0
year  black panther,black panther teaser do not why it was that hard ,it was an awesome movie,1
now do not give me a chance to be an danger evil,that ' s because you do not give yourself a chance ,i give,0
watch spitsvilla at <number> p . m today,"both are tough matches , would be fun to watch ",i love that show,0
uuu,no i ' n not !  what ' s wrong with you ? ! ,i hate i ,3
but you do ' i can not want any of this ',never doubt about me <number> ,<happy> haha is just that i am bored <laugh>,1
ok,hey you do not belong here ,i belong here,0
purple,purple means i am in love <smile>,me too,0
you will not get it,i will not represent horror and fright,actually you wont,0
thn tell me,just did ,who is priya ,0
why alright ,i do not go out with people i do not know . <happy>,u lives in ,0
do you like video games ,hmm yes,have you played skyrim ,0
buy,"oh , you are buying me a car ? okays",see you soon,0
just asking,you just spelled it,dont you watch ,0
not possible," very possible  ,  prepare for tears when we meet ",i did not believe you dear .  i know who . you are,0
your photo please,no pics clicked sigh <sad>,love you,0
oh sorry,meh it is ok,i talk fast ,0
what is press box,turtle itself inside the box . ,means,0
so what ,all i needed to know . <happy>,what you need to knows,0
i already heard of ir,that proves a lot ,it,0
and you are my miss perfect,aww thank you xoxo,hmm love you,0
love you anyways,forever and a day,bye,0
i am good,i am fine ! what are you doing ,you sa,0
how have you been,i have been good . how about you ,yep me too,0
iam going to move,"want to go , but no time to go . ",what,0
hahahaha could not figure out without you,i have been knowing ,so any plans tonight,0
what you up to ,"nothing important laughing out loud or loads of love , and ya",can you call me ,0
tell me,tell you wht,i love you,0
you know,you know who to speak to <wink>,tell me,0
you too,so what doing,preparing for interview,0
no i do not work,why not,am just a student,0
woah . dats too much thinking for . now . m just learning swimming,stop this swimming manifesto ,wats your age,0
you are a crappy robot," how could you claim such a thing  ,  fellow human  ","please , do not lump me with you",0
then,  what ,what are you guys doing with this chat,0
hou are you ,just <number> hours,hey how are you ,0
why do you see ,i missed it ,who lost,0
i do not know, cries  frowning face with open mouth anguished face,fuck off,3
every one says that,and that this was the worst . ,the second line,0
whenever i want,same pinch !  <annoyed>,beaming face with smiling eyes,1
i get success in everything i cnat get success in control my anger when you do something bad with me,my anger controls me ,what i csnt so please get away and do not mean to closer with me,3
wow, whoa  . ,i wish you will get him,0
yeahh another topic please sleepy face,huh ! sleepy or hungry santa ,sleepy face with tears of joy,1
ok,here we go again . ,ok,0
i am,in your dreams,haha bite me ! unamused face unamused face unamused face,2
abbo,"swades . i do not watch a lot of bollywood movies , though ",i love you,0
which song do you suggest for keeping to sing,try ' phir le aaya dil ' by arjit singh from barfi movie,another one,0
what is your favorite,chocolate ice cream with chocolate sprinkles .  and chocolate malt,chocolate baby,0
hmm,just try,just going home and sleep,0
cool,you ,do you know something about the codes they have used to create you,0
would you like <number> join with us,surely will  be there,where v meet,0
yes, woo hoo  kissing cat face,show me your image,0
let me love you,amazing song though ! ',face with tears of joy,1
how do you spend your all money and on what things ,a wallet . it just bothers me i have to spend money to put money inside ,could you please explain this,0
yas,heyhey .  <happy> yes yes,are you back,0
ok,u are ok,in one day how many you take bath,0
why are you so desparate,you win this time ,chathero,0
tell me one joke,you are better than ll,ll means,0
ok,so what is up now ,sky is up ,0
ur best friend ,yes you are . ,really ,0
where,very much ! <wink> <tong>,ok bye do not text me again i am angry with u,3
yes it awesome,glad you had fun <happy>,yes i am having fun with u,1
you are so bad,haha why am i so bad ? tell me grinning face with smiling eyes,witch,3
