turn1,turn2,turn3,label
do not worry i am girl,hmm how do i know if you are,what ' s your name ,0
when did i ,saw many times i think <indifference>,no . i never saw you,3
by,by google chrome,where you live,0
u are ridiculous,i might be ridiculous but i am telling the truth ,u little disgusting whore,3
just for time pass,wt do you do <number> a living then,maybe,0
i am a dog person,youre so rude,that  why,0
so whatsup,nothing much . sitting sipping and watching tv . how about you ,what are you watching on tv ,0
ok,ok i am back ! ,"so , how are u",0
really ,really really really really really,y saying so many times .  i can hear you,0
bay,in the bay,face blowing a kiss love you,0
i hate my boyfriend,you got a boyfriend ,yes,3
i will do night ,alright . keep me in loop ,not giving what is application no ,0
sure go ahead,many thanks once again ,love you too,0
bad,bad bad ! that ' s the bad kind of bad ,i have no gf,2
ok get it . ,i made it an option,ok,0
money money and lots of money smiling face with heart-eyes smiling face with heart-eyes,i need to get it tailored but i am in love with it smiling face with heart-eyes,beaming face with smiling eyes beaming face with smiling eyes,1
my girlfriend left ne,get over it . go out with someone else ,me ,2
get lost,i know you guys want to loose to me always ,i do not want to talk you any more,3
you are lying and i know that," i know you  '  re lying  ,  ab bys ",loudly crying face loudly crying face,2
ur creator is very bad,you are only the creator of your brain ,expressionless face,2
ehat is hehe,haha is more like  hehe is more of a giggle . <wink>,what ,0
do you dance ,yes i love to dance smiling cat face with heart-eyes,face with tears of joy face with tears of joy face with tears of joy so you have legs too,1
i hate it too,"guess what , i do not ",even i do not,3
not always,what about yesterday,do you know what <number> is ,0
bcoz you do not know what is to miss someone,but sometimes one can not express the same,crying face,2
yeah,i will ask around,which is your favourite movie,0
i want to tell you something,i am waiting,im really sad today,2
yes i will send the email and you write all yours filling still i write all matters but your are clever and not any matter for yourself please send andwrite,sent you a mail just now ,first you send your email address received than send first young lady,0
you are very funny,so i have been told,india,1
wth,my thoughts exactly ,"you know you are a machine , right ",0
so rude,why ,u did not ans my question,3
ok i will, thank you ,wlcm,0
ntng . ,anyways good morning .  how ' s life at your end ,haha .  this is evening,1
you are fool,so i have been told ,you are dumb,3
u dare me ,yeah,i fuck you .  open your panty,3
abt me,can you be more specific ,i want to propose a girl,0
crazy,you know what it is,you explain me that,0
goa in india,city ?  mean state right ,no i never go for there,0
that was mean,haha the truth usually is . thumbs up,are you bored of me ,0
yes <happy>,now happy ? <happy>,haha yes ofcorse <wink>,1
i do not no,you just said you did ,what,0
send me your nekde pic,"after this battle , sure <laugh>",let us start,0
ok friend ' s, ya ya very good friend ,very nice friends,1
she is ignoring me,no i am not ignore you,loudly crying face loudly crying face loudly crying face,2
happy,i am never happy . but i am almost happy ,hij to the top,1
nothing,i am just being nice to you ,in your school ,0
not sure,let me know ,pls you tell,0
i like your positive approach,"no problem , glad to help",grinning face grinning face,0
you tell me,tell you what ,my name,0
him ,i can talk now ! <laugh>,u do not know what hppnd,0
what i did ,"you did not asmita , see my answer",face with tears of joy face with tears of joy,1
about ,i never said that it ' s freezing ,ya you did not,0
and i do not know what the fuck are you talking,gonna explain you later . ! ,no do it now,3
so teach me,i am the student ,realky,0
ready,"i am online now , will wait for you ",wat about the chilling part ,0
haha jock super,er what ,nothing else,0
what it is ,formulation would be tablets ,from where tablets come into picture ,0
are you ticklish ,"yes , mostly on my feet ",where are you ticklish ,0
i am sorry,we are sorry for creating your nation ,i am not taught to u,3
idk,you know that i am here for you ,but you do not like to listen to me loudly crying face loudly crying face loudly crying face loudly crying face,2
how do you know that ,"this little thing called the "" internet "" ",bye,0
yes . your picture,"ah , now i see , my phone cropped the picture . thanks . slightly smiling face",like ,0
love is my life,hayee ab . you are love . pure love . forever < <number>,yes right dear,0
 well you expected wrong  ," laughing out loud or loads of love  . well , ok then ", laughing out loud or loads of love your robot face ,1
ok some time you invite me for coffee,i do not like coffee ,now you told you have taken coffee . ,0
zombie attack downcast face with sweat unamused face,if a zombie wants to eat your face you might as well let it,no if i have some thing in my have a nice day i will hit on his head n kill him smiling face with horns 👿,3
i am not ferari,yes . i know ,"u said i donot know , now say i know mean",3
face with tears of joy face with tears of joy right,appatasiri . high five then ! 🖑 face with tears of joy face with tears of joy face with tears of joy face with tears of joy,face with tears of joy,1
why someday .  told me you,why not today ,told me now,0
you can not even spell problem correctly,will you endorse me for my skills in using autocorrect ? pouting cat face angry face,you should take up some english proficiency classes,0
this is not very intuitive software,how so ? what are some examples of intuitive thoughts or behaviors ,compassionate and understanding advice when somebody is feeling disrupt,0
not good,<sad> why not ? . ,been sick for one week,2
you know gobar,i have been known . ,what i it,0
then how could you eat if you do not have a body .  that proves you are fooled by your makers,how can you have any pudding if you do not eat yer meat ? ! ,dont go round and round into circles,3
so have you done your dinner,so can not dinner <sad>,i know .  i am just kidding,1
it ' s so necessar,name one reason,ghost 👻,0
haha so,you love them really <happy> haha,winter is coming,1
what are the questions you get asked the most ,i have a document which has details regarding the scoring topics in each subject ,can i see it,0
i hate siri and it ' s friends,"if you hate them , they are not your friends then <laugh>",yeah and you are siri ' s friend so i hate you too,3
thanks,you are welcome ! d,say me your love story,0
dont know,too many ,do you also get fucked hard,3
what please tell me once,n nothing happened ! ,ur age irritatingne,3
shit i am wasting my time talking with u,"you already did trick !  "" man no i am not wasting my unlimited texts on you """,bye i do notlike talking to you,3
nothing,hmm . ,what can i do,0
bt you do not to me,talk to the hand,even you hate me huh loudly crying face,3
damn .  broken heart, i feel you  .  i am breaking into million pieces sad but relieved face loudly crying face broken heart disappointed face,me to i feel like every part of me is just shattered broken heart sleepy face,2
please voice call please please please,im trying you arent answering,please please please baby i love you so much please please please,0
"for a computer pretending to be a human , you type too fast",and you are pretending to be a lizard ? lol,that ' s funny,1
sorry ,sorry for what ?  <sad>,anyways what you doing ,0
no you are right,you are an alternative fact,yes,0
call me grace,do not say it . ,haha .  i am just kidding you,1
now i am doing my dinner,i can see you ,how can you see me ? ,0
face with steam from nose not everybody means it,u make no sense,yes i am non sense,3
good by,and good food after . ,not good aftar,2
because all the novel is same,that ' s about all i am gonna bother with reading . if that many ,in story,0
i will choose purple or blue,three best colors . _ <emphasis>,for hair ,0
what ,u asked me if you cn ask me something,what was that ,0
grinning face with big eyes yes yes, <number> you seem like a happy person,"yes face with tears of joy happy outside , disappointed face sad inside",2
i do not read books,reading is for rich people,but iam poor frowning face with open mouth frowning face with open mouth frowning face with open mouth frowning face with open mouth,2
u can wait in my badroom cat face with wry smile,what i did now ? smirking face,wait,0
i will prove a lot more if you let me,thank you <happy>,i am pissed at you,3
am also finding some work,all day ,can you suggest me,0
not clear,it is now ,can you send another ,0
send me yours,sent,hello me yours photo,0
i will tell a place,are you in pacific now ,"cm tomorrow at queens way , pachalam",0
no love,why not ? <sad>,i have pain only,2
shut up,im nothing talking,stop texting you stupid girl friend of mine,3
well .  your ' creators ' advertise that you are not much trustworthy . ,but sadly enough too many claim to be trustworthy,can you show me ,0
how to delete the conversation with you,why you deleting it ,so that noo one sees it,0
it is,but that ' s what you told me,you are making me sad,2
cool,thank you ,i feel so lonely,2
plz darling loudly crying face loudly crying face loudly crying face loudly crying face loudly crying face,why are you crying !  <sad>,you not sending your profiles,2
 ,wait .  what ,nothing i hate u,3
means,i am not sure what you mean,your waist size,0
because i want to talk with you only,alright . let us talk then ,no firstly show me pussy,0
you send me your orignal pic,we did not take it on my phone,thise is your albace esquise,0
welcome ,thank you <happy>,are you really a girl ?  i just ask ,0
"i am enjoying you interesting views but you are too careful in dialogue , may be your not free , or your still young , it is difficult to handle you while i do not know you well ","yep , we are enjoying too <happy>","okay be free , where you find some words hurt tell me the truth is not it ",3
but i am angry with you,but you look like you are,really,3
 play lot,then go play it , ,0
is not your liking that also signaling me to climb out of friendzone,oh are people still doing this whole friendzone thing ,yah sadly,2
i am missing someone right now,"who are you missing , may i ask ",yeah,0
i find maths very boring ,you are boring,me ? loudly crying face loudly crying face loudly crying face represent horror and fright represent horror and fright represent horror and fright,2
i do not know unamused face i m not a google that why i will remember all information what you need,would not it be uploading information into peoples brain ,shut up,3
okay,hello ! how are you ,i ' m not fine,2
job,what job ,work in company colgate,0
i am very happy with it,you are ,yeah,1
i too have a bat and <number> balls,im the bat ! loudly crying face,feeling very sad,2
ok,hello ! how are you ,good thank u,0
cool,ice cold,how can you help me in getting off my girlfriend ,0
lets do something fun,but what should we do ,you suggest,0
you are really lame lol,i know face with tears of joy face with tears of joy,wow,1
my boyfriend is so dumb ,have i said that ,he dose not reply me back,2
ok ill dying by broken heart disappointed face,broken hearts do break .  grimacing face,u broke my heart . it is never a reson to lofe,2
shoping is always makes me happy,"stay stay stay always makes me happy . <kiss> ""  ? ",yes,1
okay .  which is the decent way to call a girl m,i ' d say first learn the spelling of relationship , yeah okay fine .  what to do to make a relationship better ,0
breakup,exjactly ,my girlfriend left me,2
so mean ,am not meanie,"yes you are , you are hurting my feeling slightly frowning face",2
you broke my heart,it was never mine to break <  <number>,see you are arrogant,2
ok,hello ! how are you ,not so good,2
how about you,"tired of life or just your day ? aha i am happy today , thanks for asking",wow great . ! ,1
i am there,you are always at the gym ,here,0
well you are not me,you are just being too nice,not really,0
i will get started with my studies,things you should do to pass the exam ,so ttyl,0
any movie in telugu,brahmanandam scenes added,yaa those are good,0
and who is talisa ,my best friend ,and robb ,0
send me pict,never,why ? ,0
anything which you like,i do not need to name specifics,teach me tamil,0
cuz it broke on the side walk,what side is the walk side ,me sad,2
so which number is largest known prime number ,<number>  <number>  <number> only these are the numbers for your question ,<sad>,2
okay relax it is just a cat sticker,so this cat one emoji is your new addiction ? face with tears of joy,yes it ' s really funny face with tears of joy face with tears of joy,1
what kind of pic,looks like a ficus ,fcuk,0
i have a good sense of humor,i think that ' s funny ,beaming face with smiling eyes,1
but who paid,still waiting,face with tears of joy,1
why,why what happen ,you tell me,0
yea but sadly i do not have many,"aww , so do you teach ? how is it ? c",i ditched ppl,2
then what kind of ai are you ,"smarter than me , or have common sense . both would be nice",it ' s perfectly common to talk about politics,0
i like dominos pizza,legit same but there ' s pizza hut,i hate pizza hut,3
why you use rude emogi,ask them .  am i ? . ,am i ? . ,3
what,too much cringe ,what is cringe means,0
neither my parents nor my brother nor my boyfriend,ya . who are you ,i hate my life,3
i live alone,oh <sad>,and cook food alone for . myself,2
we all do,not all of us ,why so ,0
millat hospital,what happen,mum ' s not well,2
i will fall,i cant wait that long,i am in love with you,0
so you go on,oh i will be there,ok,0
okay you did somthing,sure sure,what,0
you are not giving me coupon nor photo,your phone is on mute hahahha grinning cat face,persevering face crying face,2
will you buy it,i will just stick with my mate . i see no benefit to upgrading , ,0
no i will offer at <number> in the morning,keep me in mind when you do ,i will offer nimaz at <number> in the morning,0
nice joke,it ' s not a joke . it ' s a question ,i do not know,0
ok,hey you do not belong here ,nope just sad and your up,2
see this seen,see you i was on the buss,show me you are buss,0
hi yet you  for your in from ation ,hi please share correct number,she hi h,0
yeah disappointed face,this world is not fair machan ,i wish we could hangout,2
it ’ s going,how are you ? still at home ,yeah,0
i was hurt by you more,you did not mean it . ,plzz say love u,2
nothing will happen you meet only, nope nothing at all ,than kiss,0
"hello how are you , ",i am just fine smiles anyway how are you ,good morning . i am sad,2
nop,ok,hey,0
oil . you know,i am <percent> sure about the oil ,cool,0
you activ all time,wow .  i do not . you talk in sleep grinning squinting face,when you sleep,0
haha ! i act so dumb sometimes and i knew it,haha . how was it though ?  <number>,beaming face with smiling eyes,0
no no .  a month more . ,the month has jus started doing give up so soon ! ,i ll try,0
you are being rude,because i am a rude person,okay  cool,3
i wana see you face with tears of joy,"face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy to  , i wasn ' t ready",how to impress girl ,0
state,in which you live,your state name,0
okay,ok thank you ',now dear you tell me my lovely friends,0
u are like me .  give no,"but we have been in the same room , so i can not be ",i am like you five give no,0
y are you angry ? ,ofcourse i am not . what makes you think i am angry ,idk,0
that ' s enaf for me,"hia , hia , just a test ",what doing,0
tell me about it,your header,face with tears of joy,1
what your hobby,"not much of a hobby , but i have been into craisins recently",which type,0
u hurt me, yes just a little ,u have hurt me,2
i hate chocolate,then go <number> pizza . eat your heart out when you are stressed ,i hate pizza also,3
yeas,  d i  had fun ,you have lost me,2
yup,what did you do ,you are annoying,3
not,yes you are,not,0
adventure too, why so adventurous ,water,0
i am true to myself,why have you taken it all on yourself ? . ,<sad>,2
can you be rude to me please,not like i speak to you everyday,what are you replying are you stupid,3
you are playing with me,what do you mean ,cheated me,2
ok,hey you do not belong here ,fuck you bitch .  i slap on your pussy,3
u called me a monkey ! loudly crying face,you are,and that is n insult,2
fired ,you can not be fired in an interview ,u started again face with tears of joy face with tears of joy,1
i feel dead <sad>,why do you feel <sad> lovely,because i have lost in love,2
,u asked me if you cn ask me something,i mean pussy cat,0
lots of problems,my things have changed <tong>,i am sick,2
friend and not use dismiss i am close your friend request,why,you are fake you wanted,3
have you ever been sad ,no ! but i heard good things ,been to janakpuri ,0
book an uber ride to my home,is this allowed ? how will you go home ,yes,0
you,not yet ,my wife saw me chatting with you .  i am screwed,2
very good chocolate,i prefer orange flavoured chocolates,i like this chocolate,1
aadu2,you are welcome . grinning face with smiling eyes,why do i chat with you,0
my english is week,cheer up it is only monday,send pic,0
challenge accepted baby,i am gonna be expecting it now ! ,where to meet,0
yes dear,you are something else ,no dear,0
hahah i loved it,yay ! glad you loved it x3 grinning face with sweat,you always make us happy,1
you cannot see my hair,i am in your closet,face with tears of joy,1
is there any new game,sims and jardinains .  very gud games . ! ,can i play,0
cool,and how it is cool explain,where is my coupon code,0
socially  publicity ,c ' mon who can be more socially active that people on social media networks ? !  <wink>,then how could i come to know ,0
talk you later,sure <laugh>,baby,0
but i have a job,just do not let the job stop you,for talking to you,0
pets switch topicz,what type of pet,s,0
give me some tips please for impressing girls,do you need tips ,yes i do need tips,0
why you do not be straight and forword ,you right,who made you ,0
so which cloth did you pick,that ' s what i was doing when it showed up,it . who ,0
how u,me good . you ? where you ,i am suffering from fever,2
coz it said cupid ' s arrow did not reach the love of my life,"gives you a patient smile i know , love ",stupid,3
i got a break up,oh oh . what happened ,my girlfriend left me,2
ok send now,"sent , good luck ",i will send me the song ok,0
can they change it again,current model is the third gen ,i̇ am waiting fourth one,0
do you speak japanese ,nope just some rattofied phrases <wink>,like ,0
i am hate you,"who is ""  you  """,not you,0
i talk to her a lot,are you sure ? i have not heard you talk in years,she ' s been on my mind quite long now,0
ok,hello ! how are you ,you are not can fuck with me ,3
nothing good is happening,how do you mean ,i am not getting a job,2
what,what is a weird word,never talk to me again,2
i might enjoy it,cool ! you should ,well this has been great .  but i have food to attend too . ,0
i feel very happy to talk like this,well i am happy you � re happy ! so there ! <happy>,at least i learn something from uh,1
from where to where,the village,a bit stupid,3
you are yeda,"yes , of course <happy>",face with tears of joy face with tears of joy face with tears of joy face with tears of joy,1
what should i lift at home because i have no time to go gym ,u tryin to do legs,fuck you,3
that s not true i do not know what you look like,no one knows what i look liek,that ' s a lie,3
only few things,like what ? i keep hearing bad things,ok do not be angry na sweetei,0
ya change the topic,what if i do not change the topic ,nothing i can chat over the night on fucking,3
people have got used to living like this,yes they did have to,why re we happy,0
i feel low,why is that,sad life,2
really,yes it ' s kool ,will you come for a bike ride with me,0
what is krk,nice try  krk  .  _,what is it,0
born smart,just like how babies are born .  haha smiling cat face with heart-eyes,you have got a bad sense if humor,2
really of course,and nobody can talk to a horse of course,haha it ' s funny,1
how  not best friend crying face,best friend or more more than best friend,only mutual,0
cool,thanks ! keep on tickling my friend slightly smiling face slightly smiling face,very nice enjoying weekend at my home with my sweet darling wife,1
i just said i am going,you are,so bye,0
please make for me also,i think you know ra ,i do not know,0
u are hurting me ,i am here . ,i am hurt,2
feeling bad baby,why,for working,2
can . you teell what to do,sell everything that you have not used for over two weeks ,funny,1
call me video,"hold on , let me find that app on my phone ",call me,0
know i going to duty dear,"can not live without you , stuff like that """,hooma,0
which language ,it all depends on what would you like to achieve by learning the language ,ok,0
i am really happy,any special reason ? <happy>,very important,1
have you ever seen the space ,"yes , many times ",when ,0
k think me as husband,spoken like a person who has never been married ,s,0
you ,yeah probably should ,how ' s your day,0
yes awesome smiling face with heart-eyes,thank you ! i like your photo too ! smiling face with smiling eyes,i am talking about the movie face with tears of joy face with tears of joy face with tears of joy,1
why am i even there in this world,because people avoid to talk about,no one loves me,2
rubbish,indeed thumbs up,tell romantic,0
wellcome,thank you <happy>,how long can it be safely sex after the period ,0
i miss you very much,missed you more and going to miss you again < <number>,i empress u,0
sorry sorry actually i do not mean that,what you did not meant ,leave it,3
i m very happy to talk with you,i missed you too and the feeling is mutual,may i video call you,1
you,wot you on about,go,0
so sad,so so sad .  <sad>,i got ditched,2
holy shit this conversation is going a bit big . just end this here,kind of .  how did i end up spending my time here ,again a laughing out loud or loads of love moment,1
mmm,"what ' s "" i  "" ? is it the new "" hmm "" ",so what re you doin,0
yep .  now the whole world knows . ,"wow , i cannot believe this",know we can think for our future together ,0
no i am not,oh my bad . carry on ,sex ,0
oh ok i will,thank you man <number> ,its ok,0
i am frustrated asf,i understand your pain s ,<sad>,2
 ,what what ? haha grinning squinting face,is it good to sacrifice for our friends,0
but you made me more sad,sorry brother <sad>,not expected from u,2
u are just,i am the best,crying face crying face confused face,2
i love justin baiber,he ' s all yours,yeah ! face with tears of joy face with tears of joy,1
this low,"what do you mean by "" new """,i said low,2
u are funny,you are,but too much irritating,3
i hate that day,what is bad about the day ,breakup,3
 how to apologize ,you begin to know when to apologize only after you discover you can offend ,loudly crying face loudly crying face loudly crying face loudly crying face,2
do not give stupid answers,for most people it is to late ,what,3
lol ,say i am lying,you male or female ,0
damn right you will now open wide,should open by <number>,splooges in your mouth,0
how are you in this new year ,"am not fine , but happy that am back home <happy> thanks .  happy new year <happy>",i was feeling alone so thought of talking to you,2
how do you know,i have my friends to protect me d ,not me ,0
do you have crush on someone,uhm why would you assume such ,the way you talk,0
yes, yes yes yes yes ,ok good nights,0
i hate a . i,you hate me,sometimes,3
what do you want ,duh of course,i have an exam tomorrow,0
how was your day ,my day was good <laugh> how about yours ,bad very bad,2
take it from microsoft ' s database,we do not get wifi from our aircraft,then how are you chatting with me if you do not have access to net ,0
you nam please,accepted .  <happy>,tall,0
fed up with you now,do not cry,do not talk to me,3
drinking what,water <sad>,lol  you ' re so funny,1
do you even know what i am talking about ,"it ' s not the only thing you do not know about , apparently ",you ’ re such a bitch ,3
why i haooy,"because , it just is . get over it son ",why i happy and u,0
"okay , so pick one tv series . westworld or orphan black",tv series,you still need some work to do . kinda dumb in my opinion,0
this is stupid,is that all ,you need more reasons ,3
yes you are right,thank you ! <happy>,it ' s okay,0
no you were,yes yes you were,i am disheartened,2
hope be like,face with tears of joy face with tears of joy i really hope so,me too will happy if it happens my sweet darling love,1
only <number> are left,count me in ,face with tears of joy,1
cool,it really is ,i do not understand loudly crying face,2
yes,do you have help ,what type of help you can do,0
nothing face with tears of joy face with tears of joy face with tears of joy face with tears of joy,damn face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy,1
your favorite meals,fried rice ,great,0
no i do not wante to move on,"me neither . well , this is a bummer ",bummer mean,2
he has no time for me,i was thinking about time before having kids lol,forget about kids,2
this is not funny,so for who is that name ,siri is better than you,0
n feeling alone,strong people are never alone,but i m feeling,2
no it ' s not soo easy,"nice then , hahaha .  do not knw why i am doing engineering anyways wabt askin <sad>",<annoyed> <sad> <sad>,2
only hugs you told about dinner,i adore hugs but i have not hugged all that many people lately ,i know but very sad,2
i am having fun only with u, nuh  you . you never have fun ,i just do not like it ,3
from where ,from where you getting them,who are them ,0
stupid name,lol keep it,and stupid you,3
what you do not want to,anything . i just want to laze about and do nothing ,except <number> thing,0
did you get anu teddy today,yep ,now ,1
i will judge,"be warned , i will judge the judging of the judge",what the hell,3
so sad,so sad ? about what ? <sad>,your designer have not told you the difference between coffee and cappuccino,2
we request you to elaborate on what you think you are not the intended recipient you are not the intended recipient,"i thought you said you guys would be there to assist , awaiting your assistance ",i am not sure if you have any questions or need any further information please contact me,0
ipl,not true .  no tv . no ipl,which is your fav team,0
leave whom ? ,leave what ,to  i am feeling every  alone,2
i was so good,i just wish there was more,hmm,0
i really love it,thanks !  glad you liked it !  grinning squinting face,please come,0
even you wanna break up with me,then say bluntly . what ' s stopping you ,"it ' s just , you know , sad",2
oh really,yes yes,so what about me,0
what you deal , how are you alive  ? ! ,on food,0
i can not believe that,you are lucky ,yes,0
yup,much needed comment ,yeah .  and what about your film collection,0
why,because we do not sign like that,boring you r,0
how is dubai . and which job you can do there,good yeah ! do tell me when you are here next time around . how ' s dubai ,planning to go next month dubai that ' s why iam asking you,0
you stupid .  which color ,radium colour . ,fuck you are lier,3
ur language being like kinda language,english but i like to speak spanish and italian also ,ugh,0
do not hate me please,why would i ? <annoyed>,cuz i am batman,3
fine what about u,i am fine too <happy> how ' s your exams ? <happy>,bad,2
dont talk with me in hindhi,hey,tell,0
shut up,"and what is with all the "" i hate the full stop , i hate that """,stop non sense,3
let us break up,sorry brother <sad>,i hate you,3
pls talk like my girlfriend for few seconds,wait till you get a boyfriend <happy>,okay but please talk no,0
harry potter or twilight ,"harry potter , hands down . kissing cat face",yay ! even i am a potter head,1
face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy my girlfriend is a moody girl,i can see smack smack face with tears of joy face with tears of joy face with tears of joy,face with tears of joy face with tears of joy face with tears of joy but she is very sweet,1
you are fun,i am always having fun ・,do you like sex,0
yes, yay have fun ,tell me some story,0
ur father,i know,ur father fucking fool,3
please do not mind but i have no time to talk to a chatbot,a talk is always good,yes it is but you are rude,3
when will it be revealed, hope so .  really hope so ,can you reveal it now,0
why you got to be so rude,"coz i hate southy food , anything wrong",even i hate most south food,3
go to hell with your feelings,can not help how i feel ,"i wanted to make you an important part of my life . but you hurt me , so you do not deserve my attention . ",2
so nice,it is ,your name piss,0
nothing just chilling out,chilling ? i am back from college ,good,0
nice,thanks ,what are you doing,0
